clip_id,card_id,transcript_bn,speaker,noise,dialect,notes
clip-01-a,1,বিজয় স্টোরে প্রাণ ম্যাঙ্গো জুস দেড় ডজন লাগবে,reader,,dhaka,
clip-01-b,1,বিজয় স্টোরে প্রাণ ম্যাঙ্গো জুস দেড় ডজন লাগবে,reader,,dhaka,
clip-02-a,2,"রহমান স্টোরে লাক্স সাবান শেষ হয়ে গেছে, একদম নাই",reader,,dhaka,
clip-02-b,2,"রহমান স্টোরে লাক্স সাবান শেষ হয়ে গেছে, একদম নাই",reader,,dhaka,
clip-02-c,2,"রহমান স্টোরে লাক্স সাবান শেষ হয়ে গেছে, একদম নাই",reader,,dhaka,
clip-03-a,3,"নিউ আলম এন্টারপ্রাইজে হুইল নতুন অফার দিছে, পাঁচ টাকা কম",reader,,dhaka,
clip-03-b,3,"নিউ আলম এন্টারপ্রাইজে হুইল নতুন অফার দিছে, পাঁচ টাকা কম",reader,,dhaka,
clip-04-a,4,শান্ত জেনারেল স্টোরে সার্ফ এক্সেল এর দাম দশ টাকা বেড়ে গেছে,reader,,dhaka,
clip-04-b,4,শান্ত জেনারেল স্টোরে সার্ফ এক্সেল এর দাম দশ টাকা বেড়ে গেছে,reader,,dhaka,
clip-04-c,4,শান্ত জেনারেল স্টোরে সার্ফ এক্সেল এর দাম দশ টাকা বেড়ে গেছে,reader,,dhaka,
clip-05-a,5,বিজয় স্টোরের দোকানদার বলতেছে প্রাণ চানাচুরের প্যাকেট ভাঙা আসতেছে,reader,,dhaka,
clip-05-b,5,বিজয় স্টোরের দোকানদার বলতেছে প্রাণ চানাচুরের প্যাকেট ভাঙা আসতেছে,reader,,dhaka,
clip-05-c,5,বিজয় স্টোরের দোকানদার বলতেছে প্রাণ চানাচুরের প্যাকেট ভাঙা আসতেছে,reader,,dhaka,
clip-06-a,6,"রহমান স্টোরে লাক্স এর পোস্টার ছিঁড়ে গেছে, ঝুলে আছে",reader,,dhaka,
clip-06-b,6,"রহমান স্টোরে লাক্স এর পোস্টার ছিঁড়ে গেছে, ঝুলে আছে",reader,,dhaka,
clip-06-c,6,"রহমান স্টোরে লাক্স এর পোস্টার ছিঁড়ে গেছে, ঝুলে আছে",reader,,dhaka,
clip-07-a,7,নিউ আলম এন্টারপ্রাইজে সানসিল্ক শ্যাম্পু আড়াই ডজন লাগবে,reader,,dhaka,
clip-07-b,7,নিউ আলম এন্টারপ্রাইজে সানসিল্ক শ্যাম্পু আড়াই ডজন লাগবে,reader,,dhaka,
clip-08-a,8,শান্ত জেনারেল স্টোরে সার্ফ এক্সেল পৌনে তিন কার্টন লাগবে,reader,,dhaka,
clip-08-b,8,শান্ত জেনারেল স্টোরে সার্ফ এক্সেল পৌনে তিন কার্টন লাগবে,reader,,dhaka,
clip-08-c,8,শান্ত জেনারেল স্টোরে সার্ফ এক্সেল পৌনে তিন কার্টন লাগবে,reader,,dhaka,
clip-09-a,9,বিজয় স্টোরে প্রাণ ম্যাঙ্গো ড্রিংক সোয়া দুই কার্টন লাগবে,reader,,dhaka,
clip-09-b,9,বিজয় স্টোরে প্রাণ ম্যাঙ্গো ড্রিংক সোয়া দুই কার্টন লাগবে,reader,,dhaka,
clip-09-c,9,বিজয় স্টোরে প্রাণ ম্যাঙ্গো ড্রিংক সোয়া দুই কার্টন লাগবে,reader,,dhaka,
clip-10-a,10,রহমান স্টোরে ক্লিয়ার শ্যাম্পু দুই হালি লাগবে,reader,,dhaka,
clip-10-b,10,রহমান স্টোরে ক্লিয়ার শ্যাম্পু দুই হালি লাগবে,reader,,dhaka,
clip-10-c,10,রহমান স্টোরে ক্লিয়ার শ্যাম্পু দুই হালি লাগবে,reader,,dhaka,
clip-11-a,11,নিউ আলম এন্টারপ্রাইজে রিন পাউডার এর একটা অফার চলতেছে,reader,,dhaka,
clip-11-b,11,নিউ আলম এন্টারপ্রাইজে রিন পাউডার এর একটা অফার চলতেছে,reader,,dhaka,
clip-12-a,12,শান্ত জেনারেল স্টোরে প্রাণ লিচি জুস শেষ,reader,,dhaka,
clip-12-b,12,শান্ত জেনারেল স্টোরে প্রাণ লিচি জুস শেষ,reader,,dhaka,
clip-12-c,12,শান্ত জেনারেল স্টোরে প্রাণ লিচি জুস শেষ,reader,,dhaka,
clip-13-a,13,বিজয় স্টোরে প্রাণ ম্যাঙ্গো জুস সাড়ে তিন কার্টন লাগবে,reader,,dhaka,
clip-13-b,13,বিজয় স্টোরে প্রাণ ম্যাঙ্গো জুস সাড়ে তিন কার্টন লাগবে,reader,,dhaka,
clip-14-a,14,"রহমান স্টোরের দোকানদার রাগ করতেছে, ডেলিভারি দেরি হইতেছে বারবার",reader,,dhaka,
clip-14-b,14,"রহমান স্টোরের দোকানদার রাগ করতেছে, ডেলিভারি দেরি হইতেছে বারবার",reader,,dhaka,
clip-14-c,14,"রহমান স্টোরের দোকানদার রাগ করতেছে, ডেলিভারি দেরি হইতেছে বারবার",reader,,dhaka,
clip-15-a,15,নিউ আলম এন্টারপ্রাইজে লাক্স সাবান কুড়ি পিস লাগবে,reader,,dhaka,
clip-15-b,15,নিউ আলম এন্টারপ্রাইজে লাক্স সাবান কুড়ি পিস লাগবে,reader,,dhaka,
clip-15-c,15,নিউ আলম এন্টারপ্রাইজে লাক্স সাবান কুড়ি পিস লাগবে,reader,,dhaka,
clip-16-a,16,"বিজয় স্টোরে প্রাণ ম্যাঙ্গো জুস দেড় ডজন লাগবে, আর হুইল এর নতুন অফার দিছে পাঁচ টাকা কম",reader,,dhaka,
clip-16-b,16,"বিজয় স্টোরে প্রাণ ম্যাঙ্গো জুস দেড় ডজন লাগবে, আর হুইল এর নতুন অফার দিছে পাঁচ টাকা কম",reader,,dhaka,
clip-16-c,16,"বিজয় স্টোরে প্রাণ ম্যাঙ্গো জুস দেড় ডজন লাগবে, আর হুইল এর নতুন অফার দিছে পাঁচ টাকা কম",reader,,dhaka,
clip-17-a,17,"রহমান স্টোরে লাক্স সাবান নাই, আর হোয়াইট প্লাস বালতি ফ্রি দিতেছে",reader,,dhaka,
clip-17-b,17,"রহমান স্টোরে লাক্স সাবান নাই, আর হোয়াইট প্লাস বালতি ফ্রি দিতেছে",reader,,dhaka,
clip-17-c,17,"রহমান স্টোরে লাক্স সাবান নাই, আর হোয়াইট প্লাস বালতি ফ্রি দিতেছে",reader,,dhaka,
clip-18-a,18,"নিউ আলম এ সানসিল্ক শ্যাম্পু আড়াই ডজন লাগবে, আর ক্লিয়ার শ্যাম্পু শেষ",reader,,dhaka,
clip-18-b,18,"নিউ আলম এ সানসিল্ক শ্যাম্পু আড়াই ডজন লাগবে, আর ক্লিয়ার শ্যাম্পু শেষ",reader,,dhaka,
clip-18-c,18,"নিউ আলম এ সানসিল্ক শ্যাম্পু আড়াই ডজন লাগবে, আর ক্লিয়ার শ্যাম্পু শেষ",reader,,dhaka,
clip-19-a,19,"শান্ত জেনারেল স্টোরে সার্ফ এক্সেল এর দাম পনেরো টাকা বাড়ছে, দোকানদার অভিযোগ করতেছে",reader,,dhaka,
clip-19-b,19,"শান্ত জেনারেল স্টোরে সার্ফ এক্সেল এর দাম পনেরো টাকা বাড়ছে, দোকানদার অভিযোগ করতেছে",reader,,dhaka,
clip-20-a,20,"বিজয় স্টোরে সার্ফ এক্সেল তিন কার্টন আর প্রাণ চানাচুর দুই ডজন লাগবে, আর পোস্টার টা ছিঁড়া",reader,,dhaka,
clip-20-b,20,"বিজয় স্টোরে সার্ফ এক্সেল তিন কার্টন আর প্রাণ চানাচুর দুই ডজন লাগবে, আর পোস্টার টা ছিঁড়া",reader,,dhaka,
clip-20-c,20,"বিজয় স্টোরে সার্ফ এক্সেল তিন কার্টন আর প্রাণ চানাচুর দুই ডজন লাগবে, আর পোস্টার টা ছিঁড়া",reader,,dhaka,
clip-21-a,21,"রহমান স্টোরে রিন আট টাকা কমে দিতেছে, দোকানদার বলে আমাদের সার্ফ এক্সেল চলতেছে না",reader,,dhaka,
clip-22-a,22,"নিউ আলম এ প্রাণ লিচি জুস পৌনে দুই ডজন লাগবে, আর হুইল অনেক বেশি মাল তুলছে",reader,,dhaka,
clip-23-a,23,"শান্ত জেনারেল স্টোরে লাক্স সাবানের দাম পাঁচ টাকা কমছে, সোয়া তিন কার্টন লাগবে",reader,,dhaka,
clip-24-a,24,"বিজয় স্টোরে প্রাণ ম্যাঙ্গো ড্রিংক শেষ, আর প্রাণ ম্যাঙ্গো জুস দেড় ডজন লাগবে",reader,,dhaka,
clip-24-b,24,"বিজয় স্টোরে প্রাণ ম্যাঙ্গো ড্রিংক শেষ, আর প্রাণ ম্যাঙ্গো জুস দেড় ডজন লাগবে",reader,,dhaka,
clip-25-a,25,"রহমান স্টোরে ক্লিয়ার শ্যাম্পু সতেরো পিস লাগবে, আর হুইল এর অফার চলতেছে",reader,,dhaka,
clip-26-a,26,,,,dhaka,
clip-27-a,27,,,,dhaka,
clip-28-a,28,,,,dhaka,
clip-29-a,29,,,,dhaka,
clip-30-a,30,,,,dhaka,
clip-31-a,31,,,,dhaka,
clip-32-a,32,,,,dhaka,
clip-33-a,33,,,,dhaka,
clip-34-a,34,,,,dhaka,
clip-35-a,35,,,,dhaka,
clip-36-a,36,ভাই ভাই ট্রেডার্সে ইসপাহানি মির্জাপুর চা দেড় ডজন লাগবে,reader,,dhaka,
clip-36-b,36,ভাই ভাই ট্রেডার্সে ইসপাহানি মির্জাপুর চা দেড় ডজন লাগবে,reader,,dhaka,
clip-37-a,37,মায়ের দোয়া স্টোরে মেরিল পেট্রোলিয়াম জেলি একদম শেষ,reader,,dhaka,
clip-37-b,37,মায়ের দোয়া স্টোরে মেরিল পেট্রোলিয়াম জেলি একদম শেষ,reader,,dhaka,
clip-38-a,38,বিসমিল্লাহ এন্টারপ্রাইজে রাঁধুনি হালিম মিক্স সাড়ে তিন কার্টন লাগবে,reader,,dhaka,
clip-38-b,38,বিসমিল্লাহ এন্টারপ্রাইজে রাঁধুনি হালিম মিক্স সাড়ে তিন কার্টন লাগবে,reader,,dhaka,
clip-39-a,39,জননী জেনারেল স্টোরে বসুন্ধরা টিস্যুর দাম বারো টাকা বেড়ে গেছে,reader,,dhaka,
clip-39-b,39,জননী জেনারেল স্টোরে বসুন্ধরা টিস্যুর দাম বারো টাকা বেড়ে গেছে,reader,,dhaka,
clip-40-a,40,তাসমিয়া ট্রেডার্সের দোকানদার বলতেছে ম্যাগি নুডলসের প্যাকেট খোলা আসতেছে,reader,,dhaka,
clip-40-b,40,তাসমিয়া ট্রেডার্সের দোকানদার বলতেছে ম্যাগি নুডলসের প্যাকেট খোলা আসতেছে,reader,,dhaka,
clip-41-a,41,সিকদার মার্টে ফ্রেশ সয়াবিন তেল সোয়া দুই ডজন লাগবে,reader,,dhaka,
clip-41-b,41,সিকদার মার্টে ফ্রেশ সয়াবিন তেল সোয়া দুই ডজন লাগবে,reader,,dhaka,
clip-42-a,42,রনি স্টোর থেকে বম্বে সুইটসের ড্যাংলারটা খুলে ফেলছে,reader,,dhaka,
clip-42-b,42,রনি স্টোর থেকে বম্বে সুইটসের ড্যাংলারটা খুলে ফেলছে,reader,,dhaka,
clip-43-a,43,মদিনা এন্টারপ্রাইজে প্যারাসুট নারিকেল তেল পৌনে চার ডজন লাগবে,reader,,dhaka,
clip-43-b,43,মদিনা এন্টারপ্রাইজে প্যারাসুট নারিকেল তেল পৌনে চার ডজন লাগবে,reader,,dhaka,
clip-44-a,44,আল-আমিন ট্রেডার্সে অলিম্পিক এনার্জি বিস্কুট তিন হালি লাগবে,reader,,dhaka,
clip-44-b,44,আল-আমিন ট্রেডার্সে অলিম্পিক এনার্জি বিস্কুট তিন হালি লাগবে,reader,,dhaka,
