card_id,obs_index,type,outlet_id,sku_id,competitor_brand,quantity,unit,price_delta,severity
1,1,demand_signal,OUT-1182,SKU-404,,18,piece,,medium
2,1,stock_out,OUT-1183,SKU-502,,,,,high
3,1,competitor_promo,OUT-1184,,COMP-WHEEL,,,-5,high
4,1,price_change,OUT-1185,SKU-501,,,,10,medium
5,1,retailer_complaint,OUT-1182,SKU-420,,,,,medium
6,1,posm_issue,OUT-1183,,,,,,low
7,1,demand_signal,OUT-1184,SKU-504,,30,piece,,medium
8,1,demand_signal,OUT-1185,SKU-501,,2.75,carton,,medium
9,1,demand_signal,OUT-1182,SKU-407,,2.25,carton,,medium
10,1,demand_signal,OUT-1183,SKU-505,,8,piece,,medium
11,1,competitor_promo,OUT-1184,,COMP-RIN,,,,medium
12,1,stock_out,OUT-1185,SKU-410,,,,,high
13,1,demand_signal,OUT-1182,SKU-404,,3.5,carton,,medium
14,1,retailer_complaint,OUT-1183,,,,,,medium
15,1,demand_signal,OUT-1184,SKU-502,,20,piece,,medium
16,1,demand_signal,OUT-1182,SKU-404,,18,piece,,medium
16,2,competitor_promo,OUT-1182,,COMP-WHEEL,,,-5,high
17,1,stock_out,OUT-1183,SKU-502,,,,,high
17,2,competitor_promo,OUT-1183,,COMP-WHITEPLUS,,,,medium
18,1,demand_signal,OUT-1184,SKU-504,,30,piece,,medium
18,2,stock_out,OUT-1184,SKU-505,,,,,high
19,1,price_change,OUT-1185,SKU-501,,,,15,high
19,2,retailer_complaint,OUT-1185,SKU-501,,,,,medium
20,1,demand_signal,OUT-1182,SKU-501,,3,carton,,medium
20,2,demand_signal,OUT-1182,SKU-420,,24,piece,,medium
20,3,posm_issue,OUT-1182,,,,,,low
21,1,competitor_promo,OUT-1183,,COMP-RIN,,,-8,high
21,2,retailer_complaint,OUT-1183,SKU-501,,,,,medium
22,1,demand_signal,OUT-1184,SKU-410,,21,piece,,medium
22,2,competitor_promo,OUT-1184,,COMP-WHEEL,,,,medium
23,1,price_change,OUT-1185,SKU-502,,,,-5,medium
23,2,demand_signal,OUT-1185,SKU-502,,3.25,carton,,medium
24,1,stock_out,OUT-1182,SKU-407,,,,,high
24,2,demand_signal,OUT-1182,SKU-404,,18,piece,,medium
25,1,demand_signal,OUT-1183,SKU-505,,17,piece,,medium
25,2,competitor_promo,OUT-1183,,COMP-WHEEL,,,,medium
26,1,demand_signal,OUT-1182,SKU-410,,30,piece,,medium
27,1,stock_out,OUT-1183,SKU-501,,,,,high
28,1,competitor_promo,OUT-1184,,COMP-WHITEPLUS,,,-10,high
29,1,price_change,OUT-1185,SKU-502,,,,8,medium
30,1,retailer_complaint,OUT-1182,SKU-504,,,,,medium
31,1,posm_issue,OUT-1183,,,,,,low
32,1,demand_signal,OUT-1184,SKU-501,,3.75,carton,,medium
33,1,demand_signal,OUT-1185,SKU-407,,5.25,carton,,medium
34,1,demand_signal,OUT-1182,SKU-502,,12,piece,,medium
35,1,competitor_promo,OUT-1183,,COMP-RIN,,,,medium
36,1,demand_signal,OUT-1186,SKU-703,,18,piece,,medium
37,1,stock_out,OUT-1187,SKU-704,,,,,high
38,1,demand_signal,OUT-1188,SKU-705,,3.5,carton,,medium
39,1,price_change,OUT-1189,SKU-706,,,,12,medium
40,1,retailer_complaint,OUT-1190,,COMP-MAGGI,,,,medium
41,1,demand_signal,OUT-1191,SKU-707,,27,piece,,medium
42,1,posm_issue,OUT-1192,,COMP-BOMBAY,,,,low
43,1,demand_signal,OUT-1193,SKU-708,,45,piece,,medium
44,1,demand_signal,OUT-1194,SKU-709,,12,piece,,medium
45,1,demand_signal,OUT-1195,SKU-701,,20,piece,,medium
46,1,competitor_promo,OUT-1196,,COMP-MRNOODLES,,,,medium
47,1,demand_signal,OUT-1197,SKU-702,,30,piece,,medium
48,1,stock_out,OUT-1198,SKU-714,,,,,high
49,1,demand_signal,OUT-1199,SKU-711,,4.5,carton,,medium
50,1,price_change,OUT-1200,SKU-713,,,,-5,medium
51,1,demand_signal,OUT-1186,SKU-703,,18,piece,,medium
51,2,price_change,OUT-1186,SKU-707,,,,,medium
52,1,stock_out,OUT-1187,SKU-705,,,,,high
52,2,competitor_promo,OUT-1187,,COMP-BOMBAY,,,-5,medium
53,1,demand_signal,OUT-1188,SKU-708,,30,piece,,medium
53,2,stock_out,OUT-1188,SKU-704,,,,,high
54,1,price_change,OUT-1189,SKU-709,,,,5,medium
54,2,retailer_complaint,OUT-1189,SKU-709,,,,,medium
55,1,demand_signal,OUT-1190,,COMP-MAGGI,3.25,carton,,medium
55,2,demand_signal,OUT-1190,SKU-706,,24,piece,,medium
55,3,retailer_complaint,OUT-1190,,,,,,medium
56,1,competitor_promo,OUT-1191,,COMP-MRNOODLES,,,,medium
56,2,demand_signal,OUT-1191,SKU-710,,15,piece,,medium
57,1,demand_signal,OUT-1192,SKU-701,,21,piece,,medium
57,2,price_change,OUT-1192,SKU-713,,,,,medium
58,1,price_change,OUT-1193,SKU-702,,,,-3,medium
58,2,demand_signal,OUT-1193,SKU-702,,4.5,carton,,medium
59,1,stock_out,OUT-1194,SKU-711,,,,,high
59,2,demand_signal,OUT-1194,SKU-712,,18,piece,,medium
60,1,demand_signal,OUT-1195,SKU-714,,20,piece,,medium
60,2,competitor_promo,OUT-1195,,COMP-WHEEL,,,,medium
61,1,demand_signal,OUT-1196,SKU-707,,8,piece,,medium
61,2,retailer_complaint,OUT-1196,,,,,,medium
62,1,stock_out,OUT-1197,SKU-703,,,,,high
62,2,demand_signal,OUT-1197,SKU-700,,45,piece,,medium
62,3,posm_issue,OUT-1197,,,,,,low
63,1,demand_signal,OUT-1198,SKU-704,,30,piece,,medium
63,2,retailer_complaint,OUT-1198,,,,,,medium
64,1,price_change,OUT-1199,SKU-705,,,,10,medium
64,2,demand_signal,OUT-1199,SKU-705,,12,piece,,medium
65,1,demand_signal,OUT-1200,SKU-710,,5.25,carton,,medium
65,2,posm_issue,OUT-1200,,,,,,low
